name,email,phone,address,city,state,zip,google_rating,google_review_count,notes
Advent Funeral & Cremation Services (Lanham),,,9013 Annapolis Rd,Lanham,MD,20706,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Phone not captured.
Pridgen Funeral Service,,,9455 Lanham Severn Rd,Lanham,MD,20706,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Second address also listed (8855 Annapolis Rd Ste 109); confirm.
March Life Tribute Center (Laurel),,,7601 Sandy Spring Rd,Laurel,MD,20707,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: marchltclaurel.com. Phone not captured.
Roy W. Barber Funeral Home,,(301) 948-3500,21525 Laytonsville Rd,Laytonsville,MD,20882,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: barberfhlaytonsville.com.
Brinsfield Funeral Home & Crematory P.A.,,(301) 475-5588,22955 Hollywood Rd,Leonardtown,MD,20650,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: brinsfieldfuneral.com.
Mattingley-Gardiner Funeral Home,,(301) 475-8500,41590 Fenwick St,Leonardtown,MD,20650,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Rausch Funeral Home (Lusby),,(410) 326-9400,20 American Ln,Lusby,MD,20657,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: rauschfuneralhomes.com.
Rausch Funeral Home (Owings),,(410) 257-6181,8325 Mt Harmony Ln,Owings,MD,20736,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: rauschfuneralhomes.com. Calvert County; Lusby and Port Republic are their own rows.
Kalas Funeral Home & Crematory (National Harbor),,(301) 567-9424,6160 Oxon Hill Rd,Oxon Hill,MD,20745,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: kalasfuneralhomes.com. Its Edgewater location (21037) is outside the market.
Mary Brooks Funeral Home P.A.,,(240) 679-6279,5801 Cleveland Ave,Riverdale,MD,20737,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: marybrooksfh.com. Address shared with Boston-St. Fort per search; confirm.
Boston - St. Fort Funeral & Cremation Service,,(240) 667-2520,5801 Cleveland Ave,Riverdale Park,MD,20737,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: dmvcremation.com. Mary Brooks Funeral Home lists the same street address; confirm they are separate establishments.
Cole Funeral Services P.A.,,(301) 871-1444,4110 Aspen Hill Rd,Rockville,MD,20853,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: colefuneral.com.
Robert A. Pumphrey Funeral Home (Rockville),,(301) 762-3939,300 W Montgomery Ave,Rockville,MD,20850,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: pumphreyfuneralhome.com.
Sagel Bloomfield Danzansky Goldberg Funeral Care,,(301) 340-1400,170 Rollins Ave,Rockville,MD,20852,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: sagelbloomfield.com. Shomrei Neshama (Ste 200) and Going Home Cremation (Ste 100) are in the same building; each is its own row.
Shomrei Neshama of Greater Washington P.A.,,(301) 296-6835,170 Rollins Ave Ste 200,Rockville,MD,20852,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: shomreineshama.com. Same building as Sagel Bloomfield; confirm it is a separate licensed establishment.
Simple Tribute Funeral & Cremation Center,,(301) 545-0960,1040 Rockville Pike,Rockville,MD,20852,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Snowden Funeral Home,,(301) 762-2500,246 N Washington St,Rockville,MD,20850,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: snowdencares.com.
Francis J. Collins Funeral Home,,(301) 593-9500,500 University Blvd W,Silver Spring,MD,20901,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: collinsfuneralhome.com. Posts a service-pricing page.
Hines-Rinaldi Funeral Home,,(301) 622-2290,11800 New Hampshire Ave,Silver Spring,MD,20904,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
Philip D. Rinaldi Funeral Service,,,9241 Columbia Blvd,Silver Spring,MD,20910,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: rinaldifuneralservice.com. Phone not captured.
Rapp Funeral & Cremation Services,,(301) 276-0489,933 Gist Ave,Silver Spring,MD,20910,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Hodges-Edwards Funeral Home,,(301) 899-0687,3910 Silver Hill Rd,Suitland,MD,20746,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: hefuneralh.com.
Marshall's Funeral Home of Maryland Inc.,,(301) 736-1616,4308 Suitland Rd,Suitland,MD,20746,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
J.K. Johnson Funeral Home,,,6503 Old Branch Ave,Temple Hills,MD,20748,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Phone not captured. Same address as Ralph Williams II Funeral Service; confirm both operate here.
Ralph Williams II Funeral Service P.A.,,(301) 262-2387,6503 Old Branch Ave,Temple Hills,MD,20748,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: ralphwilliamsfuneralservice.com. Same address as J.K. Johnson per search; confirm.
Strickland Funeral Services,,(301) 449-0400,6500 Allentown Rd,Temple Hills,MD,20748,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Kingdom Mortuary,,(240) 664-3772,,Upper Marlboro,MD,20774,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Street address not captured.
Briscoe-Tonic Funeral Home P.A. (Waldorf),,(301) 632-6624,7 Industrial Park Dr,Waldorf,MD,20602,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: briscoe-tonicfuneralhome.com. The Mechanicsville location is its own row. Yelp gives 2294 Old Washington Rd for Waldorf. Confirm.
Huntt Funeral Home & Crematory,,(301) 645-7021,3035 Old Washington Rd,Waldorf,MD,20601,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
Precious Memories Funeral Home,,(240) 585-5214,2960 Technology Pl Ste 103,Waldorf,MD,20601,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Cunningham Turch Funeral Home,,(703) 549-1800,811 Cameron St,Alexandria,VA,22314,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Northern Virginia Burial & Cremation Society lists the same address; see that row.
Demaine Funeral Home (Alexandria),,(703) 549-0074,520 S Washington St,Alexandria,VA,22314,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
Everly-Wheatley Funeral Home & Crematory,,(703) 998-9200,1500 W Braddock Rd,Alexandria,VA,22302,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: everlywheatley.com. Carriage Services.
Funeral Choices (Alexandria),,(703) 465-1800,1205 Belle Haven Rd,Alexandria,VA,22307,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: funeralchoices.com. The Chantilly location is its own row.
Greene Funeral Home Inc.,,(703) 549-0089,814 Franklin St,Alexandria,VA,22314,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: greenefh.net.
Jefferson Funeral Chapel,,(703) 971-7400,5755 Castlewellan Dr,Alexandria,VA,22315,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: jeffersonfuneralchapel.com.
Chinn-Baker Funeral Service,,(703) 979-1666,2605 Shirlington Rd,Arlington,VA,22206,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Directory listing only; confirm it still operates.
Murphy Funeral Homes (Arlington),,(703) 920-4800,4510 Wilson Blvd,Arlington,VA,22203,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial. ""Arlington Funeral Home"" (703) 522-1441 lists the same address; likely one establishment, so import once."
Storke Funeral Home (Arlington Chapel),,(571) 730-7900,1555 Southgate Rd Bldg 26,Arlington,VA,22214,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Chapel on Joint Base Myer-Henderson Hall; main firm is in Stafford (outside the market). Confirm it is a licensed establishment.
Cremation Society of Virginia (Chantilly),,(703) 936-2622,14014 Sullyfield Cir Ste F,Chantilly,VA,20151,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: virginiacremate.com. Cremation only; one directory calls this suite ""Cremation & Memorial Center"". Confirm it holds its own Virginia establishment license (brokers are never imported)."
Everly Funeral Home,,(703) 385-1110,10565 Main St,Fairfax,VA,22030,,,"UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: everlyfuneralhome.com. Carriage Services. ⚠ Demaine Funeral Home – Fairfax (Dignity Memorial) lists the same address and phone, and Everly's own sites say Falls Church. It may have been sold or renamed; confirm the licensed name and owner."
Fairfax Memorial Funeral Home,,(703) 977-8933,9902 Braddock Rd,Fairfax,VA,22032,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: fairfaxmemorialfuneralhome.com. Posts its GPL (a 2022 PDF was found); get the current one.
Advent Funeral & Cremation Services (Falls Church),,(703) 241-7402,7211 Lee Hwy,Falls Church,VA,22046,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting.
Murphy Funeral Homes (Falls Church),,(703) 533-0341,1102 W Broad St,Falls Church,VA,22046,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
National Funeral Home & Memorial Park,,(703) 560-4400,7482 Lee Hwy,Falls Church,VA,22042,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
Adams-Green Funeral Home,,(703) 437-1764,721 Elden St,Herndon,VA,20170,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: adamsgreen.com.
Colonial Funeral Home of Leesburg,,(703) 777-1414,201 Edwards Ferry Rd NE,Leesburg,VA,20176,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: colonialfuneralhome.com.
Loudoun Funeral Chapel & Crematory,,(703) 777-6000,158 Catoctin Cir SE,Leesburg,VA,20175,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: loudounfuneralchapel.com.
Ames Funeral Home Inc.,,(703) 368-2814,8914 Quarry Rd,Manassas,VA,20110,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: amesfh.com.
Baker-Post Funeral Home & Cremation Center,,(703) 368-3116,10001 Nokesville Rd,Manassas,VA,20110,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: bakerpostfh.com. Posts a funeral-pricing page. Its old Sudley Rd location is closed.
Pierce Funeral Home,,(703) 257-6028,9609 Center St,Manassas,VA,20110,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: piercefh.com. A second listing gives 9320 West St; confirm.
Hall Funeral Home Inc.,,(540) 338-5561,140 S Nursery Ave,Purcellville,VA,20132,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: hallfh.com. Holds Royston Funeral Home's records (Royston closed 2026-05-29; not imported).
Lyles Funeral Service,,,630 S 20th St,Purcellville,VA,20132,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. Site: lylesfuneralservice.net. Phone not captured.
Demaine Funeral Home (Springfield),,(703) 941-9428,5308 Backlick Rd,Springfield,VA,22151,,,UNVERIFIED web-search lead 2026-09-24 (docs/data/DMV_HOMES_ROSTER_2026-09.md). Confirm license + email before vetting. SCI / Dignity Memorial.
