name,state,zip,benchmark_area,chain,gpl_status,gpl_url,gpl_effective,provenance,request_sent,gpl_loaded,license_checked,vetted,email_confirmed,notes
Cremation Society of Virginia (Chantilly),VA,20151,Northern VA (Loudoun/Manassas/Reston),,site_check,https://www.virginiacremate.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Demaine Life Celebration Center of Loudoun County,VA,20166,Northern VA (Loudoun/Manassas/Reston),SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Hall Funeral Home Inc.,VA,20132,Northern VA (Loudoun/Manassas/Reston),,site_check,https://hallfh.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Loudoun Funeral Chapel & Crematory,VA,20175,Northern VA (Loudoun/Manassas/Reston),,site_check,https://loudounfuneralchapel.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Lyles Funeral Service,VA,20132,Northern VA (Loudoun/Manassas/Reston),,site_check,https://lylesfuneralservice.net/,,,,,,,,"Site known; look for a posted list, else send the request."
Moser Funeral Home Inc.,VA,20186,Northern VA (Loudoun/Manassas/Reston),,site_check,https://moserfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Pierce Funeral Home,VA,20110,Northern VA (Loudoun/Manassas/Reston),,site_check,https://piercefh.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Advent Funeral & Cremation Services (Lanham),MD,20706,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Beall Funeral Home,MD,20715,Prince George's County,,site_check,https://beallfuneral.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Boston - St. Fort Funeral & Cremation Service,MD,20737,Prince George's County,,site_check,https://dmvcremation.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Buchanan Funeral Services P.A.,MD,20735,Prince George's County,,site_check,https://buchananfunerals.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Donald V. Borgwardt Funeral Home P.A.,MD,20705,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Fort Lincoln Funeral Home & Cemetery,MD,20722,Prince George's County,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Gary L. Kaufman Funeral Home at Meadowridge,MD,20707,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Gasch's Funeral Home P.A.,MD,20781,Prince George's County,,link_found,https://www.gaschs.com/resources/general-prices,,,,,,,,General-prices page.
Hodges-Edwards Funeral Home,MD,20746,Prince George's County,,site_check,https://hefuneralh.com/,,,,,,,,"Site known; look for a posted list, else send the request."
J.B. Jenkins Funeral Home Inc.,MD,20785,Prince George's County,,held_stale,https://fh-content.s3.amazonaws.com/release/Content/Media/JBJenkinsFuneralHomeInc/General%20Price%20List%202024.pdf,2024-08-08,posted,,,,,,"Reviewed (supabase/seed/gpl/dmv/jb-jenkins-2024.json, transcribed from a 16-page scan) but held: printed 25 months before retrieval. Confirm with the home it is still current, then add stillCurrent."
J.K. Johnson Funeral Home,MD,20748,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Joseph Gawler's Sons (Clinton),MD,20735,Prince George's County,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Kalas Funeral Home & Crematory (National Harbor),MD,20745,Prince George's County,,site_check,https://kalasfuneralhomes.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Kingdom Mortuary,MD,20774,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Lee Funeral Home Inc.,MD,20735,Prince George's County,,site_check,https://leefuneralhomes.com/,,,,,,,,"Site known; look for a posted list, else send the request."
March Life Tribute Center (Laurel),MD,20707,Prince George's County,,site_check,https://marchltclaurel.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Marshall's Funeral Home of Maryland Inc.,MD,20746,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Mary Brooks Funeral Home P.A.,MD,20737,Prince George's County,,site_check,https://marybrooksfh.com/,,,,,,,,"Site known; look for a posted list, else send the request."
McPherson Funeral Services P.A.,MD,20744,Prince George's County,,site_check,https://mcphersonfuneralservicesandcremations.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Pope Funeral Home (Forestville Chapel),MD,20747,Prince George's County,,link_found,https://www.popefh.com/resources-and-pricing/price-lists,,,,,,,,Price-lists page (also covers the DC chapel).
Pridgen Funeral Service,MD,20706,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Ralph Williams II Funeral Service P.A.,MD,20748,Prince George's County,,site_check,https://ralphwilliamsfuneralservice.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Rausch Funeral Home (Owings),MD,20736,Prince George's County,,site_check,https://rauschfuneralhomes.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Strickland Funeral Services,MD,20748,Prince George's County,,no_site_known,,,,,,,,,Request by email/phone.
Wiseman Funeral Home & Chapel P.A.,MD,20746,Prince George's County,,link_found,https://www.wisemanfuneralhome.net/gpl,,,,,,,,"Price-list link found; open it, record the printed effective date, then review."
Francis J. Collins Funeral Home,MD,20901,Silver Spring/Takoma Park,,link_found,https://www.collinsfuneralhome.com/service-options/service-pricing,,,,,,,,Service-pricing page.
Hines-Rinaldi Funeral Home,MD,20904,Silver Spring/Takoma Park,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Philip D. Rinaldi Funeral Service,MD,20910,Silver Spring/Takoma Park,,site_check,https://rinaldifuneralservice.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Rapp Funeral & Cremation Services,MD,20910,Silver Spring/Takoma Park,,no_site_known,,,,,,,,,Request by email/phone.
Arehart-Echols Funeral Home P.A.,MD,20646,Southern Maryland,,site_check,https://arehartechols.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Brinsfield Funeral Home & Crematory P.A.,MD,20650,Southern Maryland,,site_check,https://brinsfieldfuneral.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Briscoe-Tonic Funeral Home P.A. (Waldorf),MD,20602,Southern Maryland,,site_check,https://briscoe-tonicfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Huntt Funeral Home & Crematory,MD,20601,Southern Maryland,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Mattingley-Gardiner Funeral Home,MD,20650,Southern Maryland,,no_site_known,,,,,,,,,Request by email/phone.
Precious Memories Funeral Home,MD,20601,Southern Maryland,,no_site_known,,,,,,,,,Request by email/phone.
Rausch Funeral Home (Lusby),MD,20657,Southern Maryland,,site_check,https://rauschfuneralhomes.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Raymond Funeral Service P.A.,MD,20646,Southern Maryland,,site_check,https://raymondfuneralservice.com/,,,,,,,,"Site known; look for a posted list, else send the request."
B.K. Henry Funeral Chapel Inc.,DC,20002,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Blount Funeral Services,DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Capitol Mortuary Inc.,DC,20002,Washington DC,,site_check,https://capitolmortuaryinc.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Columbia Heights Funeral Home,DC,20010,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
D.L. McLaughlin Funeral Services,DC,20020,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
DeVol Funeral Home,DC,20007,Washington DC,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Dunn & Sons Funeral Service,DC,20019,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Echelon Avant Garde Funeral Service,DC,20010,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Hackett's Funeral Chapel,DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Hall Brothers Funeral Home,DC,20001,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Harrison & Son Funeral Service,DC,20010,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Henry S. Washington & Sons Co. Inc.,DC,20019,Washington DC,,link_found,https://www.washingtonandsonsfuneralhome.com/general-price-list,,,,,,,,Posted page (DC).
Hunt Funeral Home (Paradise Mortuary),DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
John T. Rhines Funeral Home,DC,20017,Washington DC,,reviewed,https://s3.amazonaws.com/CFSV2/fileuploads/4502/RhinesGPL2026.pdf,2026-02-01,posted,,,,,,Record: supabase/seed/gpl/dmv/john-t-rhines-2026.json
Johnson & Jenkins Funeral Home,DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Joseph Gawler's Sons LLC,DC,20016,Washington DC,SCI / Dignity Memorial,link_found,https://www.dignitymemorial.com/dfsmedia/042808e1630c49a48950d5077d6556eb/36705-source/options/download/2216-gpl-general-price-list,,,,,,,,"Dignity Memorial download; a 2020 effective date was seen, so check."
Kendal Wade Funeral Home and Cremations,DC,20011,Washington DC,,site_check,https://kwadefunerals.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Marshall-March Funeral Homes,DC,20011,Washington DC,,link_found,https://cdn.f1connect.net/cdn/12178M-QD/gpl/Marshall-March%20Funeral%20Homes%20GPL.pdf,,,,,,,,Effective 2023-07-01 (stale); ask for current.
McGuire Funeral Service Inc.,DC,20012,Washington DC,,link_found,https://www.mcguire-services.com/general-price-list,,,,,,,,Posted page (DC).
Pinckney-Spangler Funeral Home,DC,20002,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Pope Funeral Home (Washington Chapel),DC,20020,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
R.N. Horton's Funeral Home,DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Robinson Funeral Home,DC,20001,Washington DC,,link_found,https://www.robinsonfuneralhomedc.com/general-price-list,,,,,,,,Posted page (DC).
Ronald Taylor II Funeral Home,DC,20002,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Snead Funeral Home and Cremation Service,DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Stewart Funeral Home,DC,20019,Washington DC,,held_stale,https://fh-content.s3.amazonaws.com/release/Content/Media/StewartFuneralHome/General%20Price%20List%202024%20-%20Revised%207-11-24.pdf,2024-07-15,posted,,,,,,"Reviewed (supabase/seed/gpl/dmv/stewart-2024.json) but held: printed 26 months before retrieval. Confirm with the home it is still current, then add stillCurrent."
Torchinsky Hebrew Funeral Home,DC,20012,Washington DC,,site_check,https://www.torchinsky.com/,,,,,,,,A directory says its GPL is posted on the site.
Tri-State Funeral Service,DC,20019,Washington DC,,link_found,https://www.tri-statefuneralservices.com/Content/Media/Tri-StateFuneralServiceInc/General%20Price%20List.pdf,2019-01-01,posted,,,,,,"Posted list says prices are good 01/01/2019 to 01/01/2020, so ask for the current one."
Universal Mortuary Service,DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
W.H. Bacon Funeral Home Inc.,DC,20010,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Watson's Funeral Home,DC,20010,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
"Whitney's Life Centers Funeral Home, Mortuary and Cremations",DC,20019,Washington DC,,site_check,https://whitneyswlc.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Young Funeral Service,DC,20011,Washington DC,,no_site_known,,,,,,,,,Request by email/phone.
Going Home Cremation & Funeral Care by Value Choice P.A. (Rockville),MD,20852,Bethesda/Rockville,,site_check,https://goinghomecares.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Potomac Valley Cremation Center,MD,20874,Bethesda/Rockville,,site_check,https://germantown.potomaccremation.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Funeraria Unida P.A.,MD,20902,Silver Spring/Takoma Park,,link_found,https://irp.cdn-website.com/0d5face9/files/uploaded/FU_GPL_(1).pdf,,,,,,,,"Price-list link found; open it, record the printed effective date, then review."
Sewell Funeral Home,MD,20678,Southern Maryland,,site_check,https://sewellfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Rausch Funeral Home (Port Republic),MD,20676,Southern Maryland,,site_check,https://rauschfuneralhomes.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Briscoe-Tonic Funeral Home (Mechanicsville),MD,20659,Southern Maryland,,site_check,https://briscoe-tonicfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Brinsfield Funeral Home (Charlotte Hall),MD,20622,Southern Maryland,,site_check,https://brinsfieldfuneral.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Adams Funeral Home P.A.,MD,20608,Southern Maryland,,site_check,https://adamsfuneralhomemd.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Williams Funeral Home P.A.,MD,20640,Southern Maryland,,site_check,https://williamsfuneralhomepa.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Thornton Funeral Home P.A.,MD,20640,Southern Maryland,,site_check,https://thorntonfuneralhomepa.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Freeman Funeral Services P.A.,MD,20735,Prince George's County,,site_check,https://freemanfuneralservicespa.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Donaldson Funeral Home P.A. (Laurel),MD,20707,Prince George's County,,site_check,https://donaldsonlaurel.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Robert E. Evans Funeral Home,MD,20715,Prince George's County,SCI / Dignity Memorial,site_check,,,,,,,,,Dignity Memorial location page carries a GPL download.
Genesis Cremation & Funeral Services,DC,20011,Washington DC,,site_check,https://genesiscremationandfuneral.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Funeral Choices of Chantilly,VA,20151,Northern VA (Loudoun/Manassas/Reston),,site_check,https://funeralchoices.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Lay To Rest Cremation & Funeral Home,VA,22150,McLean/Vienna/Woodbridge,,site_check,https://laytorestfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Direct Cremation Services of Virginia,VA,20151,Northern VA (Loudoun/Manassas/Reston),,site_check,https://directcremationservicesofvirginia.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Northern Virginia Burial & Cremation Society,VA,22314,Alexandria,,link_found,https://irp-cdn.multiscreensite.com/ed8b9e00/files/uploaded/NVCS%20GPL%202021.pdf,,,,,,,,"Price-list link found; open it, record the printed effective date, then review."
Reese Funeral Professionals,VA,22314,Alexandria,,site_check,https://reesefuneralprofessionals.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Olde Towne Funeral Home of Manassas,VA,20110,Northern VA (Loudoun/Manassas/Reston),,link_found,https://manassasfuneralhome.com/wp-content/uploads/2022/10/General-Pricelist.pdf,,,,,,,,"Price-list link found; open it, record the printed effective date, then review."
Joynes Funeral Home Inc.,VA,20186,Northern VA (Loudoun/Manassas/Reston),,site_check,https://joynesfuneralhome.com/,,,,,,,,"Site known; look for a posted list, else send the request."
Alfirdaus Jinnazah Services LLC,VA,22079,Fairfax County,,site_check,https://alfirdausjinnaza.com/,,,,,,,,"Site known; look for a posted list, else send the request."
